,Facts,Rules,Inference,Label,TemplateType
0,Mary painted the ball with blue color. John colored the ball using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
1,Mary painted the ball with blue color. John colored the ball using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The ball appears black in colour.,false,Type1-Colormixing
2,Mary painted the ball with blue color. John colored the ball using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
3,Mary painted the ball with blue color. John colored the ball using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The ball appears violet in colour.,false,Type1-Colormixing
4,Mary painted the ball with blue color. John colored the ball using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The ball appears violet in colour.,true,Type1-Colormixing
5,Mary painted the ball with blue color. John colored the ball using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The ball appears green in colour.,false,Type1-Colormixing
6,Mary painted the ball with blue color. John colored the ball using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
7,Mary painted the ball with blue color. John colored the ball using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The ball appears violet in colour.,false,Type1-Colormixing
8,Mary painted the ball with yellow color. John colored the ball using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
9,Mary painted the ball with yellow color. John colored the ball using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
10,Mary painted the ball with yellow color. John colored the ball using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
11,Mary painted the ball with yellow color. John colored the ball using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The ball appears black in colour.,false,Type1-Colormixing
12,Mary painted the ball with yellow color. John colored the ball using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
13,Mary painted the ball with yellow color. John colored the ball using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The ball appears green in colour.,false,Type1-Colormixing
14,Mary painted the ball with yellow color. John colored the ball using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
15,Mary painted the ball with yellow color. John colored the ball using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The ball appears green in colour.,false,Type1-Colormixing
16,Mary painted the ball with green color. John colored the ball using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
17,Mary painted the ball with green color. John colored the ball using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
18,Mary painted the ball with green color. John colored the ball using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
19,Mary painted the ball with green color. John colored the ball using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
20,Mary painted the ball with green color. John colored the ball using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
21,Mary painted the ball with green color. John colored the ball using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The ball appears green in colour.,false,Type1-Colormixing
22,Mary painted the ball with green color. John colored the ball using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
23,Mary painted the ball with green color. John colored the ball using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The ball appears green in colour.,false,Type1-Colormixing
24,Mary painted the ball with green color. John colored the ball using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
25,Mary painted the ball with green color. John colored the ball using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The ball appears black in colour.,false,Type1-Colormixing
26,Mary painted the ball with red color. John colored the ball using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The ball appears violet in colour.,true,Type1-Colormixing
27,Mary painted the ball with red color. John colored the ball using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The ball appears violet in colour.,false,Type1-Colormixing
28,Mary painted the ball with red color. John colored the ball using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
29,Mary painted the ball with red color. John colored the ball using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The ball appears violet in colour.,false,Type1-Colormixing
30,Mary painted the ball with red color. John colored the ball using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
31,Mary painted the ball with red color. John colored the ball using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The ball appears orange in colour.,false,Type1-Colormixing
32,Mary painted the ball with red color. John colored the ball using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The ball appears red in colour.,true,Type1-Colormixing
33,Mary painted the ball with red color. John colored the ball using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The ball appears brown in colour.,false,Type1-Colormixing
34,Mary painted the ball with brown color. John colored the ball using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
35,Mary painted the ball with brown color. John colored the ball using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The ball appears brown in colour.,false,Type1-Colormixing
36,Mary painted the ball with brown color. John colored the ball using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
37,Mary painted the ball with brown color. John colored the ball using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The ball appears violet in colour.,false,Type1-Colormixing
38,Mary painted the ball with orange color. John colored the ball using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
39,Mary painted the ball with orange color. John colored the ball using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The ball appears brown in colour.,false,Type1-Colormixing
40,Mary painted the ball with orange color. John colored the ball using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
41,Mary painted the ball with orange color. John colored the ball using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,false,Type1-Colormixing
42,Mary painted the ball with orange color. John colored the ball using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The ball appears red in colour.,true,Type1-Colormixing
43,Mary painted the ball with orange color. John colored the ball using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The ball appears orange in colour.,false,Type1-Colormixing
44,Mary painted the ball with black color. John colored the ball using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
45,Mary painted the ball with black color. John colored the ball using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The ball appears red in colour.,false,Type1-Colormixing
46,Mary painted the ball with white color. John colored the ball using black paint.,"If white paint is mixed with black paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
47,Mary painted the box with blue color. John colored the box using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The box appears orange in colour.,false,Type1-Colormixing
48,Mary painted the box with blue color. John colored the box using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
49,Mary painted the box with blue color. John colored the box using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The box appears black in colour.,false,Type1-Colormixing
50,Mary painted the box with blue color. John colored the box using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
51,Mary painted the box with blue color. John colored the box using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The box appears violet in colour.,false,Type1-Colormixing
52,Mary painted the box with blue color. John colored the box using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The box appears violet in colour.,true,Type1-Colormixing
53,Mary painted the box with blue color. John colored the box using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The box appears green in colour.,false,Type1-Colormixing
54,Mary painted the box with blue color. John colored the box using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
55,Mary painted the box with blue color. John colored the box using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The box appears violet in colour.,false,Type1-Colormixing
56,Mary painted the box with yellow color. John colored the box using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
57,Mary painted the box with yellow color. John colored the box using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The box appears brown in colour.,false,Type1-Colormixing
58,Mary painted the box with yellow color. John colored the box using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
59,Mary painted the box with yellow color. John colored the box using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The box appears black in colour.,false,Type1-Colormixing
60,Mary painted the box with yellow color. John colored the box using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
61,Mary painted the box with yellow color. John colored the box using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The box appears green in colour.,false,Type1-Colormixing
62,Mary painted the box with yellow color. John colored the box using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
63,Mary painted the box with yellow color. John colored the box using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The box appears green in colour.,false,Type1-Colormixing
64,Mary painted the box with green color. John colored the box using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
65,Mary painted the box with green color. John colored the box using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The box appears brown in colour.,false,Type1-Colormixing
66,Mary painted the box with green color. John colored the box using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
67,Mary painted the box with green color. John colored the box using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The box appears brown in colour.,false,Type1-Colormixing
68,Mary painted the box with green color. John colored the box using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
69,Mary painted the box with green color. John colored the box using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The box appears green in colour.,false,Type1-Colormixing
70,Mary painted the box with green color. John colored the box using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
71,Mary painted the box with green color. John colored the box using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The box appears green in colour.,false,Type1-Colormixing
72,Mary painted the box with green color. John colored the box using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
73,Mary painted the box with green color. John colored the box using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The box appears black in colour.,false,Type1-Colormixing
74,Mary painted the box with red color. John colored the box using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The box appears violet in colour.,true,Type1-Colormixing
75,Mary painted the box with red color. John colored the box using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The box appears violet in colour.,false,Type1-Colormixing
76,Mary painted the box with red color. John colored the box using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
77,Mary painted the box with red color. John colored the box using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The box appears violet in colour.,false,Type1-Colormixing
78,Mary painted the box with red color. John colored the box using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
79,Mary painted the box with red color. John colored the box using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The box appears orange in colour.,false,Type1-Colormixing
80,Mary painted the box with red color. John colored the box using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The box appears red in colour.,true,Type1-Colormixing
81,Mary painted the box with red color. John colored the box using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The box appears brown in colour.,false,Type1-Colormixing
82,Mary painted the box with brown color. John colored the box using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
83,Mary painted the box with brown color. John colored the box using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The box appears brown in colour.,false,Type1-Colormixing
84,Mary painted the box with brown color. John colored the box using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
85,Mary painted the box with brown color. John colored the box using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The box appears violet in colour.,false,Type1-Colormixing
86,Mary painted the box with orange color. John colored the box using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
87,Mary painted the box with orange color. John colored the box using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The box appears brown in colour.,false,Type1-Colormixing
88,Mary painted the box with orange color. John colored the box using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
89,Mary painted the box with orange color. John colored the box using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,false,Type1-Colormixing
90,Mary painted the box with orange color. John colored the box using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The box appears red in colour.,true,Type1-Colormixing
91,Mary painted the box with orange color. John colored the box using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The box appears orange in colour.,false,Type1-Colormixing
92,Mary painted the box with black color. John colored the box using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
93,Mary painted the box with black color. John colored the box using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The box appears red in colour.,false,Type1-Colormixing
94,Mary painted the box with white color. John colored the box using black paint.,"If white paint is mixed with black paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
95,Mary painted the wall with blue color. John colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears orange in colour.,false,Type1-Colormixing
96,Mary painted the wall with blue color. John colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
97,Mary painted the wall with blue color. John colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears black in colour.,false,Type1-Colormixing
98,Mary painted the wall with blue color. John colored the wall using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
99,Mary painted the wall with blue color. John colored the wall using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The wall appears violet in colour.,false,Type1-Colormixing
100,Mary painted the wall with blue color. John colored the wall using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The wall appears violet in colour.,true,Type1-Colormixing
101,Mary painted the wall with blue color. John colored the wall using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The wall appears green in colour.,false,Type1-Colormixing
102,Mary painted the wall with blue color. John colored the wall using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
103,Mary painted the wall with blue color. John colored the wall using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The wall appears violet in colour.,false,Type1-Colormixing
104,Mary painted the wall with yellow color. John colored the wall using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
105,Mary painted the wall with yellow color. John colored the wall using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
106,Mary painted the wall with yellow color. John colored the wall using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
107,Mary painted the wall with yellow color. John colored the wall using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The wall appears black in colour.,false,Type1-Colormixing
108,Mary painted the wall with yellow color. John colored the wall using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
109,Mary painted the wall with yellow color. John colored the wall using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The wall appears green in colour.,false,Type1-Colormixing
110,Mary painted the wall with yellow color. John colored the wall using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
111,Mary painted the wall with yellow color. John colored the wall using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The wall appears green in colour.,false,Type1-Colormixing
112,Mary painted the wall with green color. John colored the wall using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
113,Mary painted the wall with green color. John colored the wall using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
114,Mary painted the wall with green color. John colored the wall using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
115,Mary painted the wall with green color. John colored the wall using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
116,Mary painted the wall with green color. John colored the wall using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
117,Mary painted the wall with green color. John colored the wall using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The wall appears green in colour.,false,Type1-Colormixing
118,Mary painted the wall with green color. John colored the wall using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
119,Mary painted the wall with green color. John colored the wall using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The wall appears green in colour.,false,Type1-Colormixing
120,Mary painted the wall with green color. John colored the wall using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
121,Mary painted the wall with green color. John colored the wall using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The wall appears black in colour.,false,Type1-Colormixing
122,Mary painted the wall with red color. John colored the wall using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The wall appears violet in colour.,true,Type1-Colormixing
123,Mary painted the wall with red color. John colored the wall using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The wall appears violet in colour.,false,Type1-Colormixing
124,Mary painted the wall with red color. John colored the wall using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
125,Mary painted the wall with red color. John colored the wall using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The wall appears violet in colour.,false,Type1-Colormixing
126,Mary painted the wall with red color. John colored the wall using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
127,Mary painted the wall with red color. John colored the wall using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The wall appears orange in colour.,false,Type1-Colormixing
128,Mary painted the wall with red color. John colored the wall using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The wall appears red in colour.,true,Type1-Colormixing
129,Mary painted the wall with red color. John colored the wall using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The wall appears brown in colour.,false,Type1-Colormixing
130,Mary painted the wall with brown color. John colored the wall using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
131,Mary painted the wall with brown color. John colored the wall using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The wall appears brown in colour.,false,Type1-Colormixing
132,Mary painted the wall with brown color. John colored the wall using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
133,Mary painted the wall with brown color. John colored the wall using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The wall appears violet in colour.,false,Type1-Colormixing
134,Mary painted the wall with orange color. John colored the wall using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
135,Mary painted the wall with orange color. John colored the wall using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The wall appears brown in colour.,false,Type1-Colormixing
136,Mary painted the wall with orange color. John colored the wall using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
137,Mary painted the wall with orange color. John colored the wall using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,false,Type1-Colormixing
138,Mary painted the wall with orange color. John colored the wall using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The wall appears red in colour.,true,Type1-Colormixing
139,Mary painted the wall with orange color. John colored the wall using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The wall appears orange in colour.,false,Type1-Colormixing
140,Mary painted the wall with black color. John colored the wall using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
141,Mary painted the wall with black color. John colored the wall using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The wall appears red in colour.,false,Type1-Colormixing
142,Mary painted the wall with white color. John colored the wall using black paint.,"If white paint is mixed with black paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
143,Mary painted the canvas with blue color. John colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears orange in colour.,false,Type1-Colormixing
144,Mary painted the canvas with blue color. John colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears green in colour.,true,Type1-Colormixing
145,Mary painted the canvas with blue color. John colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears black in colour.,false,Type1-Colormixing
146,Mary painted the canvas with blue color. John colored the canvas using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The canvas appears green in colour.,true,Type1-Colormixing
147,Mary painted the canvas with blue color. John colored the canvas using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The canvas appears violet in colour.,false,Type1-Colormixing
148,Mary painted the canvas with blue color. John colored the canvas using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The canvas appears violet in colour.,true,Type1-Colormixing
149,Mary painted the canvas with blue color. John colored the canvas using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The canvas appears green in colour.,false,Type1-Colormixing
