,Facts,Rules,Inference,Label,TemplateType
150,Ana painted the ball with blue color. Allen colored the ball using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
151,Ana painted the ball with blue color. Allen colored the ball using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The ball appears black in colour.,false,Type1-Colormixing
152,Ana painted the ball with blue color. Allen colored the ball using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
153,Ana painted the ball with blue color. Allen colored the ball using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The ball appears violet in colour.,false,Type1-Colormixing
154,Ana painted the ball with blue color. Allen colored the ball using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The ball appears violet in colour.,true,Type1-Colormixing
155,Ana painted the ball with blue color. Allen colored the ball using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The ball appears green in colour.,false,Type1-Colormixing
156,Ana painted the ball with blue color. Allen colored the ball using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
157,Ana painted the ball with blue color. Allen colored the ball using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The ball appears violet in colour.,false,Type1-Colormixing
158,Ana painted the ball with yellow color. Allen colored the ball using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
159,Ana painted the ball with yellow color. Allen colored the ball using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
160,Ana painted the ball with yellow color. Allen colored the ball using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
161,Ana painted the ball with yellow color. Allen colored the ball using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The ball appears black in colour.,false,Type1-Colormixing
162,Ana painted the ball with yellow color. Allen colored the ball using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
163,Ana painted the ball with yellow color. Allen colored the ball using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The ball appears green in colour.,false,Type1-Colormixing
164,Ana painted the ball with yellow color. Allen colored the ball using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
165,Ana painted the ball with yellow color. Allen colored the ball using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The ball appears green in colour.,false,Type1-Colormixing
166,Ana painted the ball with green color. Allen colored the ball using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
167,Ana painted the ball with green color. Allen colored the ball using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
168,Ana painted the ball with green color. Allen colored the ball using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The ball appears green in colour.,true,Type1-Colormixing
169,Ana painted the ball with green color. Allen colored the ball using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The ball appears brown in colour.,false,Type1-Colormixing
170,Ana painted the ball with green color. Allen colored the ball using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
171,Ana painted the ball with green color. Allen colored the ball using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The ball appears green in colour.,false,Type1-Colormixing
172,Ana painted the ball with green color. Allen colored the ball using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
173,Ana painted the ball with green color. Allen colored the ball using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The ball appears green in colour.,false,Type1-Colormixing
174,Ana painted the ball with green color. Allen colored the ball using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
175,Ana painted the ball with green color. Allen colored the ball using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The ball appears black in colour.,false,Type1-Colormixing
176,Ana painted the ball with red color. Allen colored the ball using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The ball appears violet in colour.,true,Type1-Colormixing
177,Ana painted the ball with red color. Allen colored the ball using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The ball appears violet in colour.,false,Type1-Colormixing
178,Ana painted the ball with red color. Allen colored the ball using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
179,Ana painted the ball with red color. Allen colored the ball using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The ball appears violet in colour.,false,Type1-Colormixing
180,Ana painted the ball with red color. Allen colored the ball using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
181,Ana painted the ball with red color. Allen colored the ball using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The ball appears orange in colour.,false,Type1-Colormixing
182,Ana painted the ball with red color. Allen colored the ball using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The ball appears red in colour.,true,Type1-Colormixing
183,Ana painted the ball with red color. Allen colored the ball using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The ball appears brown in colour.,false,Type1-Colormixing
184,Ana painted the ball with brown color. Allen colored the ball using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
185,Ana painted the ball with brown color. Allen colored the ball using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The ball appears brown in colour.,false,Type1-Colormixing
186,Ana painted the ball with brown color. Allen colored the ball using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
187,Ana painted the ball with brown color. Allen colored the ball using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The ball appears violet in colour.,false,Type1-Colormixing
188,Ana painted the ball with orange color. Allen colored the ball using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The ball appears orange in colour.,true,Type1-Colormixing
189,Ana painted the ball with orange color. Allen colored the ball using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The ball appears brown in colour.,false,Type1-Colormixing
190,Ana painted the ball with orange color. Allen colored the ball using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,true,Type1-Colormixing
191,Ana painted the ball with orange color. Allen colored the ball using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The ball appears brown in colour.,false,Type1-Colormixing
192,Ana painted the ball with orange color. Allen colored the ball using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The ball appears red in colour.,true,Type1-Colormixing
193,Ana painted the ball with orange color. Allen colored the ball using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The ball appears orange in colour.,false,Type1-Colormixing
194,Ana painted the ball with black color. Allen colored the ball using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
195,Ana painted the ball with black color. Allen colored the ball using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The ball appears red in colour.,false,Type1-Colormixing
196,Ana painted the ball with white color. Allen colored the ball using black paint.,"If white paint is mixed with black paint, then it appears black in color.",The ball appears black in colour.,true,Type1-Colormixing
197,Ana painted the box with blue color. Allen colored the box using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The box appears orange in colour.,false,Type1-Colormixing
198,Ana painted the box with blue color. Allen colored the box using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
199,Ana painted the box with blue color. Allen colored the box using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The box appears black in colour.,false,Type1-Colormixing
200,Ana painted the box with blue color. Allen colored the box using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
201,Ana painted the box with blue color. Allen colored the box using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The box appears violet in colour.,false,Type1-Colormixing
202,Ana painted the box with blue color. Allen colored the box using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The box appears violet in colour.,true,Type1-Colormixing
203,Ana painted the box with blue color. Allen colored the box using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The box appears green in colour.,false,Type1-Colormixing
204,Ana painted the box with blue color. Allen colored the box using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
205,Ana painted the box with blue color. Allen colored the box using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The box appears violet in colour.,false,Type1-Colormixing
206,Ana painted the box with yellow color. Allen colored the box using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
207,Ana painted the box with yellow color. Allen colored the box using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The box appears brown in colour.,false,Type1-Colormixing
208,Ana painted the box with yellow color. Allen colored the box using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
209,Ana painted the box with yellow color. Allen colored the box using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The box appears black in colour.,false,Type1-Colormixing
210,Ana painted the box with yellow color. Allen colored the box using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
211,Ana painted the box with yellow color. Allen colored the box using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The box appears green in colour.,false,Type1-Colormixing
212,Ana painted the box with yellow color. Allen colored the box using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
213,Ana painted the box with yellow color. Allen colored the box using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The box appears green in colour.,false,Type1-Colormixing
214,Ana painted the box with green color. Allen colored the box using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
215,Ana painted the box with green color. Allen colored the box using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The box appears brown in colour.,false,Type1-Colormixing
216,Ana painted the box with green color. Allen colored the box using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The box appears green in colour.,true,Type1-Colormixing
217,Ana painted the box with green color. Allen colored the box using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The box appears brown in colour.,false,Type1-Colormixing
218,Ana painted the box with green color. Allen colored the box using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
219,Ana painted the box with green color. Allen colored the box using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The box appears green in colour.,false,Type1-Colormixing
220,Ana painted the box with green color. Allen colored the box using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
221,Ana painted the box with green color. Allen colored the box using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The box appears green in colour.,false,Type1-Colormixing
222,Ana painted the box with green color. Allen colored the box using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
223,Ana painted the box with green color. Allen colored the box using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The box appears black in colour.,false,Type1-Colormixing
224,Ana painted the box with red color. Allen colored the box using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The box appears violet in colour.,true,Type1-Colormixing
225,Ana painted the box with red color. Allen colored the box using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The box appears violet in colour.,false,Type1-Colormixing
226,Ana painted the box with red color. Allen colored the box using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
227,Ana painted the box with red color. Allen colored the box using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The box appears violet in colour.,false,Type1-Colormixing
228,Ana painted the box with red color. Allen colored the box using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
229,Ana painted the box with red color. Allen colored the box using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The box appears orange in colour.,false,Type1-Colormixing
230,Ana painted the box with red color. Allen colored the box using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The box appears red in colour.,true,Type1-Colormixing
231,Ana painted the box with red color. Allen colored the box using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The box appears brown in colour.,false,Type1-Colormixing
232,Ana painted the box with brown color. Allen colored the box using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
233,Ana painted the box with brown color. Allen colored the box using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The box appears brown in colour.,false,Type1-Colormixing
234,Ana painted the box with brown color. Allen colored the box using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
235,Ana painted the box with brown color. Allen colored the box using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The box appears violet in colour.,false,Type1-Colormixing
236,Ana painted the box with orange color. Allen colored the box using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The box appears orange in colour.,true,Type1-Colormixing
237,Ana painted the box with orange color. Allen colored the box using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The box appears brown in colour.,false,Type1-Colormixing
238,Ana painted the box with orange color. Allen colored the box using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,true,Type1-Colormixing
239,Ana painted the box with orange color. Allen colored the box using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The box appears brown in colour.,false,Type1-Colormixing
240,Ana painted the box with orange color. Allen colored the box using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The box appears red in colour.,true,Type1-Colormixing
241,Ana painted the box with orange color. Allen colored the box using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The box appears orange in colour.,false,Type1-Colormixing
242,Ana painted the box with black color. Allen colored the box using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
243,Ana painted the box with black color. Allen colored the box using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The box appears red in colour.,false,Type1-Colormixing
244,Ana painted the box with white color. Allen colored the box using black paint.,"If white paint is mixed with black paint, then it appears black in color.",The box appears black in colour.,true,Type1-Colormixing
245,Ana painted the wall with blue color. Allen colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears orange in colour.,false,Type1-Colormixing
246,Ana painted the wall with blue color. Allen colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
247,Ana painted the wall with blue color. Allen colored the wall using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The wall appears black in colour.,false,Type1-Colormixing
248,Ana painted the wall with blue color. Allen colored the wall using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
249,Ana painted the wall with blue color. Allen colored the wall using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The wall appears violet in colour.,false,Type1-Colormixing
250,Ana painted the wall with blue color. Allen colored the wall using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The wall appears violet in colour.,true,Type1-Colormixing
251,Ana painted the wall with blue color. Allen colored the wall using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The wall appears green in colour.,false,Type1-Colormixing
252,Ana painted the wall with blue color. Allen colored the wall using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
253,Ana painted the wall with blue color. Allen colored the wall using brown paint.,"If blue paint is mixed with brown paint, then it appears black in color.",The wall appears violet in colour.,false,Type1-Colormixing
254,Ana painted the wall with yellow color. Allen colored the wall using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
255,Ana painted the wall with yellow color. Allen colored the wall using blue paint.,"If yellow paint is mixed with blue paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
256,Ana painted the wall with yellow color. Allen colored the wall using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
257,Ana painted the wall with yellow color. Allen colored the wall using green paint.,"If yellow paint is mixed with green paint, then it appears green in color.",The wall appears black in colour.,false,Type1-Colormixing
258,Ana painted the wall with yellow color. Allen colored the wall using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
259,Ana painted the wall with yellow color. Allen colored the wall using red paint.,"If yellow paint is mixed with red paint, then it appears orange in color.",The wall appears green in colour.,false,Type1-Colormixing
260,Ana painted the wall with yellow color. Allen colored the wall using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
261,Ana painted the wall with yellow color. Allen colored the wall using orange paint.,"If yellow paint is mixed with orange paint, then it appears orange in color.",The wall appears green in colour.,false,Type1-Colormixing
262,Ana painted the wall with green color. Allen colored the wall using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
263,Ana painted the wall with green color. Allen colored the wall using blue paint.,"If green paint is mixed with blue paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
264,Ana painted the wall with green color. Allen colored the wall using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The wall appears green in colour.,true,Type1-Colormixing
265,Ana painted the wall with green color. Allen colored the wall using yellow paint.,"If green paint is mixed with yellow paint, then it appears green in color.",The wall appears brown in colour.,false,Type1-Colormixing
266,Ana painted the wall with green color. Allen colored the wall using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
267,Ana painted the wall with green color. Allen colored the wall using red paint.,"If green paint is mixed with red paint, then it appears brown in color.",The wall appears green in colour.,false,Type1-Colormixing
268,Ana painted the wall with green color. Allen colored the wall using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
269,Ana painted the wall with green color. Allen colored the wall using brown paint.,"If green paint is mixed with brown paint, then it appears brown in color.",The wall appears green in colour.,false,Type1-Colormixing
270,Ana painted the wall with green color. Allen colored the wall using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
271,Ana painted the wall with green color. Allen colored the wall using orange paint.,"If green paint is mixed with orange paint, then it appears brown in color.",The wall appears black in colour.,false,Type1-Colormixing
272,Ana painted the wall with red color. Allen colored the wall using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The wall appears violet in colour.,true,Type1-Colormixing
273,Ana painted the wall with red color. Allen colored the wall using blue paint.,"If red paint is mixed with blue paint, then it appears violet in color.",The wall appears violet in colour.,false,Type1-Colormixing
274,Ana painted the wall with red color. Allen colored the wall using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
275,Ana painted the wall with red color. Allen colored the wall using yellow paint.,"If red paint is mixed with yellow paint, then it appears orange in color.",The wall appears violet in colour.,false,Type1-Colormixing
276,Ana painted the wall with red color. Allen colored the wall using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
277,Ana painted the wall with red color. Allen colored the wall using green paint.,"If red paint is mixed with green paint, then it appears brown in color.",The wall appears orange in colour.,false,Type1-Colormixing
278,Ana painted the wall with red color. Allen colored the wall using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The wall appears red in colour.,true,Type1-Colormixing
279,Ana painted the wall with red color. Allen colored the wall using orange paint.,"If red paint is mixed with orange paint, then it appears red in color.",The wall appears brown in colour.,false,Type1-Colormixing
280,Ana painted the wall with brown color. Allen colored the wall using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
281,Ana painted the wall with brown color. Allen colored the wall using blue paint.,"If brown paint is mixed with blue paint, then it appears black in color.",The wall appears brown in colour.,false,Type1-Colormixing
282,Ana painted the wall with brown color. Allen colored the wall using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
283,Ana painted the wall with brown color. Allen colored the wall using green paint.,"If brown paint is mixed with green paint, then it appears brown in color.",The wall appears violet in colour.,false,Type1-Colormixing
284,Ana painted the wall with orange color. Allen colored the wall using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The wall appears orange in colour.,true,Type1-Colormixing
285,Ana painted the wall with orange color. Allen colored the wall using yellow paint.,"If orange paint is mixed with yellow paint, then it appears orange in color.",The wall appears brown in colour.,false,Type1-Colormixing
286,Ana painted the wall with orange color. Allen colored the wall using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,true,Type1-Colormixing
287,Ana painted the wall with orange color. Allen colored the wall using green paint.,"If orange paint is mixed with green paint, then it appears brown in color.",The wall appears brown in colour.,false,Type1-Colormixing
288,Ana painted the wall with orange color. Allen colored the wall using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The wall appears red in colour.,true,Type1-Colormixing
289,Ana painted the wall with orange color. Allen colored the wall using red paint.,"If orange paint is mixed with red paint, then it appears red in color.",The wall appears orange in colour.,false,Type1-Colormixing
290,Ana painted the wall with black color. Allen colored the wall using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
291,Ana painted the wall with black color. Allen colored the wall using white paint.,"If black paint is mixed with white paint, then it appears black in color.",The wall appears red in colour.,false,Type1-Colormixing
292,Ana painted the wall with white color. Allen colored the wall using black paint.,"If white paint is mixed with black paint, then it appears black in color.",The wall appears black in colour.,true,Type1-Colormixing
293,Ana painted the canvas with blue color. Allen colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears orange in colour.,false,Type1-Colormixing
294,Ana painted the canvas with blue color. Allen colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears green in colour.,true,Type1-Colormixing
295,Ana painted the canvas with blue color. Allen colored the canvas using yellow paint.,"If blue paint is mixed with yellow paint, then it appears green in color.",The canvas appears black in colour.,false,Type1-Colormixing
296,Ana painted the canvas with blue color. Allen colored the canvas using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The canvas appears green in colour.,true,Type1-Colormixing
297,Ana painted the canvas with blue color. Allen colored the canvas using green paint.,"If blue paint is mixed with green paint, then it appears green in color.",The canvas appears violet in colour.,false,Type1-Colormixing
298,Ana painted the canvas with blue color. Allen colored the canvas using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The canvas appears violet in colour.,true,Type1-Colormixing
299,Ana painted the canvas with blue color. Allen colored the canvas using red paint.,"If blue paint is mixed with red paint, then it appears violet in color.",The canvas appears green in colour.,false,Type1-Colormixing
